ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.3639,3.4983,9.6861,-2.3243,5.1107,8.0404,3.7214,-3.9586,-0.4085,2.2437,1.1787,0.7942,17.0,-20.29,-22.17,-5.34,134.92,-20.8,13.97,3.1,1004.01,49.847,35.77219,-78.67836,80.39,NaN,,1.3,83.19032,42.8,7 / 21,11,2018-03-09 17:31:05:395
0.2513,3.1035,7.8389,-1.1289,6.3962,7.3474,1.5121,-2.4901,-0.2843,2.0116,-1.9109,-0.4431,20.0,-13.26,-24.48,0.55,153.11,-20.03,15.95,3.1,1004.01,52.204,35.77227,-78.67845,247.47,NaN,,1.3,29.361288,42.8,10 / 21,512,2018-03-09 17:31:05:896
-0.2943,7.7743,7.7121,0.9928,7.7016,5.9892,0.1317,-0.1955,-0.0677,0.1989,-0.4867,-1.2382,10.0,-7.06,-2.97,-35.16,18.69,-53.58,-14.76,3.1,1004.05,65.604,35.77227,-78.67845,247.47,NaN,,1.3,29.361288,42.8,10 / 21,1011,2018-03-09 17:31:06:395
-3.2136,12.0359,3.9362,-0.0701,9.1958,3.4064,-1.7599,2.0515,0.0818,0.8539,-0.9463,0.2051,9.0,-34.98,-15.29,-28.98,59.1,-69.67,1.18,3.1,1004.07,45.521,35.772366,-78.67854,333.48,NaN,,1.8,48.935486,42.8,12 / 21,1511,2018-03-09 17:31:06:895
-2.3402,9.3751,-0.4977,0.1633,9.3956,2.8047,0.6876,-1.4211,5.364,1.5326,-2.0499,-0.395,4.0,-24.18,-9.87,3.93,106.18,-68.11,-1.17,3.1,1003.97,44.471,35.772366,-78.67854,333.48,NaN,,1.8,48.935486,42.8,12 / 21,2012,2018-03-09 17:31:07:396
2.2277,8.8511,-1.0792,0.3378,9.7753,0.7071,1.2898,-0.6389,-1.8827,-0.9837,-0.0025,0.3841,0.0,-25.66,-15.39,6.27,273.73,-86.6,172.65,0.0,1004.03,44.191,35.7723,-78.67842,233.26,NaN,,6.23,53.829033,181.3,13 / 21,2511,2018-03-09 17:31:07:895
-0.804,7.7408,5.6686,-0.2406,8.9644,3.969,-1.239,-1.5566,1.4272,-1.3352,0.5182,0.3739,5.0,-30.35,-12.92,1.13,107.98,-73.84,9.93,3.1,1004.11,53.6,35.7723,-78.67842,233.26,NaN,,6.23,53.829033,181.3,13 / 21,3012,2018-03-09 17:31:08:396
-2.5675,4.3956,5.7284,-3.4633,6.4674,6.5075,1.2712,-1.5039,-1.4952,1.2889,-0.1003,0.6205,19.0,-6.22,-18.36,1.99,163.63,-35.5,19.73,3.1,1004.02,37.547,35.77234,-78.67848,235.97,NaN,,2.12,44.041935,181.3,14 / 21,3511,2018-03-09 17:31:08:895
-2.0578,6.8291,6.5827,-2.3548,7.704,5.5923,-0.2531,-1.4343,0.4204,1.0989,-0.1296,0.1192,38.0,-0.51,-16.72,8.21,185.13,-43.72,18.53,3.1,1004.0,39.175,35.77234,-78.67848,235.97,NaN,,2.12,44.041935,181.3,14 / 21,4012,2018-03-09 17:31:09:396
-5.3336,3.7854,5.0441,-5.8906,4.3915,6.495,-0.9007,-1.7004,-1.0528,-1.9648,1.1418,-1.023,15.0,5.17,-16.99,10.58,209.74,-36.83,31.96,3.1,1003.96,43.732,35.772327,-78.678566,188.04,NaN,,0.9,53.829033,181.3,14 / 21,4511,2018-03-09 17:31:09:895
-5.3671,5.4437,1.8808,-7.8177,2.8675,5.1798,2.1712,0.7168,-2.2694,0.0769,0.7666,0.3729,16.0,14.26,-26.34,-11.99,178.41,-14.26,51.18,3.1,1004.0,58.523,35.772327,-78.678566,188.04,NaN,,0.9,53.829033,181.3,14 / 21,5012,2018-03-09 17:31:10:396
-8.9827,0.3541,4.812,-8.4955,0.0623,4.8982,-0.197,0.2218,0.167,-0.4527,-0.3672,0.0458,20.0,15.69,-25.48,-31.38,140.56,-1.37,62.28,0.0,1003.98,63.369,35.77227,-78.67851,338.43,NaN,,2.92,39.148384,152.4,14 / 21,5511,2018-03-09 17:31:10:895
-8.595,0.067,5.5729,-8.3756,-0.1197,5.0995,-0.0738,0.1859,0.1441,0.002,0.0032,4.0E-4,9.0,12.43,-23.23,-38.4,131.71,0.77,58.74,0.0,1003.97,52.239,35.77227,-78.67851,338.43,NaN,,2.92,39.148384,152.4,14 / 21,6011,2018-03-09 17:31:11:395
-8.9013,0.1149,5.001,-8.6001,-0.0313,4.7126,-0.0836,0.1173,0.1609,0.0052,-7.0E-4,-4.0E-4,8.0,14.44,-23.16,-38.19,130.98,0.21,61.3,0.0,1003.98,47.076,35.772335,-78.67849,261.57,NaN,,1.37,29.361288,152.4,14 / 21,6511,2018-03-09 17:31:11:895
-8.8893,0.0981,5.0584,-8.5772,0.0406,4.754,-0.0032,0.0412,0.0312,-2.0E-4,0.0012,4.0E-4,18.0,14.07,-24.02,-38.2,132.09,-0.16,61.06,3.1,1003.99,40.488,35.772335,-78.67849,261.57,NaN,,1.37,29.361288,152.4,14 / 21,7015,2018-03-09 17:31:12:399
-8.9276,0.1053,5.0656,-8.5654,0.0716,4.7749,-0.0329,0.0242,0.084,-2.0E-4,5.0E-4,4.0E-4,18.0,14.93,-23.64,-37.65,132.55,-0.38,60.92,3.1,1004.0,39.718,35.77244,-78.67846,222.44,NaN,,1.08,39.148384,152.4,14 / 21,7512,2018-03-09 17:31:12:896
-8.9133,0.1196,5.0465,-8.5644,0.0806,4.7766,0.0139,0.0133,-0.0363,2.0E-4,5.0E-4,2.0E-4,17.0,14.3,-23.71,-37.81,132.02,-0.45,60.86,3.1,1003.99,45.926,35.77244,-78.67846,222.44,NaN,,1.08,39.148384,152.4,14 / 21,8011,2018-03-09 17:31:13:395
-8.942,0.1316,5.0991,-8.5638,0.0826,4.7775,0.0366,-0.0134,-0.05,6.0E-4,0.0036,2.0E-4,6.0,14.3,-23.89,-38.17,132.01,-0.49,60.82,0.0,1003.99,49.321,35.77249,-78.67847,185.73,NaN,,0.0,39.148384,,14 / 21,8511,2018-03-09 17:31:13:895
-8.8152,0.0766,4.9316,-8.5626,0.0859,4.7797,-0.0069,0.0134,-0.0025,-2.0E-4,0.0012,4.0E-4,9.0,14.31,-23.43,-38.36,130.79,-0.48,60.83,0.0,1003.99,48.82,35.77249,-78.67847,185.73,NaN,,0.0,39.148384,,14 / 21,9011,2018-03-09 17:31:14:395
-8.7673,0.0766,4.7809,-8.5617,0.0864,4.7813,-0.005,0.0072,0.0127,4.0E-4,7.0E-4,4.0E-4,5.0,13.95,-23.6,-38.18,132.0,-0.49,60.84,0.0,1003.98,48.37,35.772465,-78.67861,261.33,NaN,,0.97,68.509674,152.4,14 / 21,9511,2018-03-09 17:31:14:895
-8.8295,0.0502,4.8072,-8.5615,0.0848,4.7816,-0.0134,0.0137,0.0465,-2.0E-4,5.0E-4,2.0E-4,13.0,13.91,-23.57,-38.18,132.0,-0.48,60.84,3.1,1003.99,49.034,35.772465,-78.67861,261.33,NaN,,0.97,68.509674,152.4,14 / 21,10013,2018-03-09 17:31:15:397
-8.8989,0.0861,5.0321,-8.5609,0.0865,4.7827,-0.0246,0.0016,0.0501,0.0,7.0E-4,0.0,18.0,13.96,-24.37,-38.35,132.0,-0.5,60.83,3.1,1003.98,48.637,35.772465,-78.67861,261.33,NaN,,0.97,68.509674,152.4,14 / 21,10512,2018-03-09 17:31:15:896
-8.8917,0.122,5.0369,-8.561,0.0837,4.7826,-0.0109,5.0E-4,0.0189,-1.0E-4,2.0E-4,-3.0E-4,18.0,13.93,-24.09,-38.5,132.02,-0.48,60.82,3.1,1003.98,49.487,35.772465,-78.67861,261.33,NaN,,0.97,68.509674,152.4,14 / 21,11011,2018-03-09 17:31:16:395
-8.9396,0.0885,5.0919,-8.5586,0.0828,4.7868,-0.0257,0.0038,0.068,1.0E-4,4.0E-4,-5.0E-4,18.0,13.64,-23.48,-37.56,130.79,-0.49,60.81,3.1,1003.98,50.801,35.772415,-78.67864,194.76,NaN,,0.0,48.935486,,14 / 21,11512,2018-03-09 17:31:16:896
-8.9324,0.0766,5.0154,-8.5606,0.0796,4.7834,-0.0263,-0.0208,0.03,5.0E-4,0.0,-3.0E-4,18.0,14.35,-23.84,-37.85,132.03,-0.48,60.8,3.1,1003.99,53.502,35.772415,-78.67864,194.76,NaN,,0.0,48.935486,,14 / 21,12011,2018-03-09 17:31:17:395
-8.9228,0.1484,5.0465,-8.5579,0.0803,4.7881,-0.0201,0.0143,0.0495,-5.0E-4,0.0,5.0E-4,18.0,13.97,-23.77,-37.81,132.05,-0.47,60.77,3.1,1003.99,51.077,35.772396,-78.67867,165.41,NaN,,0.0,44.041935,,12 / 21,12512,2018-03-09 17:31:17:896
-8.9228,0.1412,5.0991,-8.5597,0.0867,4.7848,0.0281,0.0182,-0.0418,-1.0E-4,4.0E-4,-9.0E-4,18.0,13.7,-24.08,-37.7,132.04,-0.46,60.8,3.1,1003.99,51.396,35.772396,-78.67867,165.41,NaN,,0.0,44.041935,,12 / 21,13012,2018-03-09 17:31:18:396
-8.7817,0.0574,4.9077,-8.5591,0.0814,4.7861,0.0081,-0.002,0.0118,-5.0E-4,0.0,-1.0E-4,16.0,14.07,-23.48,-37.94,130.82,-0.48,60.79,3.1,1003.99,57.414,35.772377,-78.678665,186.4,NaN,,0.0,34.254837,,13 / 21,13512,2018-03-09 17:31:18:896
-8.8271,0.0694,4.8646,-8.5568,0.0839,4.7901,-0.006,0.005,0.0204,1.0E-4,0.0,3.0E-4,18.0,14.81,-24.87,-38.36,132.03,-0.49,60.79,3.1,1004.0,56.559,35.772377,-78.678665,186.4,NaN,,0.0,34.254837,,13 / 21,14012,2018-03-09 17:31:19:396
-8.9085,0.1436,5.0297,-8.5603,0.0839,4.7837,0.0097,-0.0108,-0.0363,-1.0E-4,2.0E-4,1.0E-4,18.0,14.78,-25.0,-38.89,132.79,-0.49,60.78,3.1,1003.99,49.132,35.77237,-78.67866,190.41,NaN,,0.0,29.361288,,13 / 21,14511,2018-03-09 17:31:19:895
-8.8917,0.1125,5.0321,-8.5589,0.0824,4.7862,-0.0013,-0.0085,0.0136,-3.0E-4,-2.0E-4,-3.0E-4,18.0,15.72,-24.86,-38.69,133.3,-0.49,60.77,3.1,1004.0,49.165,35.77237,-78.67866,190.41,NaN,,0.0,29.361288,,13 / 21,15011,2018-03-09 17:31:20:395
-8.8511,0.0598,4.9292,-8.5593,0.0821,4.7856,7.0E-4,-0.0075,-0.0328,1.0E-4,-2.0E-4,1.0E-4,19.0,14.38,-24.26,-37.94,132.05,-0.48,60.77,3.1,1003.99,48.382,35.77236,-78.67865,188.74,NaN,,0.0,24.467743,,13 / 21,15511,2018-03-09 17:31:20:895
-8.7841,0.0742,4.8359,-8.5585,0.0838,4.7869,0.0306,-0.0132,-0.0296,-3.0E-4,0.0,-5.0E-4,19.0,13.84,-23.41,-38.17,130.82,-0.48,60.77,3.1,1004.0,48.75,35.77236,-78.67865,188.74,NaN,,0.0,24.467743,,13 / 21,16011,2018-03-09 17:31:21:395
-8.9013,0.1364,5.0584,-8.5591,0.0816,4.7859,0.0294,-0.0141,-0.0389,3.0E-4,0.001,5.0E-4,18.0,14.4,-23.69,-38.18,132.04,-0.48,60.79,3.1,1004.01,49.013,35.772377,-78.678635,186.7,NaN,,0.0,24.467743,,13 / 21,16512,2018-03-09 17:31:21:896
-8.8558,0.0933,4.9005,-8.5576,0.0845,4.7886,0.004,-0.002,-0.0055,-1.0E-4,2.0E-4,-3.0E-4,18.0,14.12,-23.69,-38.06,132.04,-0.48,60.77,3.1,1004.0,47.803,35.772377,-78.678635,186.7,NaN,,0.0,24.467743,,13 / 21,17012,2018-03-09 17:31:22:396
-8.8415,0.1053,4.9986,-8.5574,0.082,4.789,3.0E-4,-0.0033,-0.0059,1.0E-4,-2.0E-4,1.0E-4,18.0,13.82,-23.85,-37.76,132.05,-0.48,60.77,3.1,1004.0,50.685,35.77237,-78.67863,192.34,NaN,,0.0,24.467743,,12 / 21,17512,2018-03-09 17:31:22:896
-8.8702,0.1244,4.9843,-8.5573,0.082,4.7892,0.0097,0.0022,-0.0063,3.0E-4,0.0,3.0E-4,18.0,14.27,-23.63,-37.61,132.05,-0.48,60.76,3.1,1004.01,53.076,35.77237,-78.67863,192.34,NaN,,0.0,24.467743,,12 / 21,18013,2018-03-09 17:31:23:397
-8.8032,0.0598,4.9412,-8.5577,0.0824,4.7884,0.0165,-0.0134,9.0E-4,5.0E-4,6.0E-4,-1.0E-4,18.0,14.16,-24.0,-37.82,132.04,-0.48,60.77,3.1,1004.02,51.143,35.772366,-78.67862,192.78,NaN,,0.0,24.467743,,12 / 21,18512,2018-03-09 17:31:23:896
-8.8367,0.0861,4.9843,-8.5578,0.0814,4.7884,-0.006,-0.0107,0.0098,3.0E-4,-2.0E-4,3.0E-4,18.0,13.72,-23.47,-37.92,130.81,-0.49,60.78,3.1,1004.01,50.34,35.772366,-78.67862,192.78,NaN,,0.0,24.467743,,12 / 21,19012,2018-03-09 17:31:24:396
-8.796,0.134,4.9292,-8.5576,0.0823,4.7886,-0.004,-0.0085,0.005,5.0E-4,2.0E-4,1.0E-4,17.0,13.99,-24.39,-37.87,132.05,-0.48,60.77,3.1,1004.01,49.391,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,12 / 21,19511,2018-03-09 17:31:24:895
-8.8702,0.0838,4.9292,-8.5575,0.0834,4.7888,-0.0135,-0.008,0.0084,1.0E-4,-2.0E-4,-3.0E-4,17.0,14.29,-23.64,-38.56,131.11,-0.48,60.76,3.1,1004.02,49.411,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,12 / 21,20011,2018-03-09 17:31:25:395
-8.875,0.0431,4.9675,-8.5568,0.0825,4.7901,-0.0047,-0.0094,0.0037,-3.0E-4,-2.0E-4,-1.0E-4,17.0,13.68,-23.85,-38.34,132.05,-0.48,60.76,3.1,1004.01,50.935,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,12 / 21,20511,2018-03-09 17:31:25:895
-8.7936,0.1484,4.9484,-8.5571,0.0811,4.7896,-0.0017,-0.0128,0.0014,-3.0E-4,-2.0E-4,-3.0E-4,17.0,14.41,-23.82,-38.02,132.04,-0.48,60.77,3.1,1004.01,49.792,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,12 / 21,21011,2018-03-09 17:31:26:395
-8.8534,0.0933,4.9292,-8.5563,0.0841,4.791,0.006,0.0192,6.0E-4,1.0E-4,0.0,-3.0E-4,17.0,14.1,-24.6,-38.44,133.23,-0.49,60.75,3.1,1004.02,49.234,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,12 / 21,21511,2018-03-09 17:31:26:895
-8.8104,0.0814,4.9771,-8.5556,0.0816,4.7923,0.0153,0.0011,0.008,-1.0E-4,2.0E-4,1.0E-4,17.0,13.77,-24.05,-38.05,132.05,-0.48,60.76,3.1,1004.01,49.22,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,12 / 21,22011,2018-03-09 17:31:27:395
-8.8128,0.1029,4.8766,-8.5574,0.0823,4.789,0.0107,-0.0077,-0.0077,5.0E-4,0.0,1.0E-4,17.0,13.91,-23.95,-38.51,131.11,-0.49,60.76,3.1,1004.02,52.354,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,12 / 21,22512,2018-03-09 17:31:27:896
-8.8319,0.0215,4.9627,-8.5568,0.0835,4.79,0.008,0.0086,-0.0041,-1.0E-4,0.0,-5.0E-4,18.0,13.41,-24.17,-37.91,131.54,-0.48,60.76,3.1,1004.01,48.311,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,12 / 21,23011,2018-03-09 17:31:28:395
-8.8176,0.0814,4.9555,-8.5588,0.0689,4.7867,-0.1245,-0.0849,0.0482,-1.0E-4,8.0E-4,-3.0E-4,17.0,14.16,-24.55,-38.15,133.23,-0.51,60.73,3.1,1004.02,60.247,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,13 / 21,23511,2018-03-09 17:31:28:895
-8.8439,0.055,4.9603,-8.5571,0.0838,4.7895,0.0021,0.0059,0.0047,-3.0E-4,-2.0E-4,1.0E-4,17.0,14.11,-24.29,-38.45,132.05,-0.48,60.77,3.1,1004.02,67.384,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,13 / 21,24011,2018-03-09 17:31:29:395
-8.8822,0.1196,4.9699,-8.5565,0.0776,4.7906,0.0045,-0.0259,0.0099,1.0E-4,2.0E-4,-1.0E-4,17.0,14.33,-24.17,-37.96,132.07,-0.45,60.76,3.1,1004.02,42.779,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,13 / 21,24511,2018-03-09 17:31:29:895
-8.8511,0.0909,4.9149,-8.5565,0.0842,4.7906,-0.0074,0.0095,-9.0E-4,1.0E-4,0.0,1.0E-4,17.0,13.69,-23.95,-38.13,132.06,-0.47,60.76,3.1,1004.0,42.387,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,13 / 21,25011,2018-03-09 17:31:30:395
-8.8558,0.0383,4.9771,-8.5559,0.0828,4.7917,-0.003,-0.0162,0.0075,1.0E-4,-4.0E-4,-7.0E-4,17.0,13.88,-24.7,-38.12,133.23,-0.48,60.75,3.1,1004.01,48.129,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,13 / 21,25512,2018-03-09 17:31:30:896
-8.8247,0.1531,4.9843,-8.557,0.0862,4.7897,0.0069,0.0313,0.0019,-1.0E-4,-2.0E-4,5.0E-4,16.0,14.2,-24.32,-38.14,132.06,-0.47,60.76,3.1,1004.0,50.988,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,13 / 21,26012,2018-03-09 17:31:31:396
-8.8487,0.0646,4.9077,-8.5566,0.0816,4.7905,-0.0229,-0.0189,0.0133,-1.0E-4,6.0E-4,5.0E-4,16.0,13.78,-24.28,-37.85,132.06,-0.48,60.76,3.1,1004.01,49.578,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,13 / 21,26511,2018-03-09 17:31:31:895
-8.8678,0.0502,4.9603,-8.5563,0.0827,4.7909,-0.0011,0.0103,-9.0E-4,5.0E-4,6.0E-4,5.0E-4,16.0,13.95,-24.33,-38.47,132.06,-0.48,60.75,3.1,1004.0,48.704,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,13 / 21,27012,2018-03-09 17:31:32:396
-8.8199,0.1005,4.9986,-8.5566,0.0818,4.7904,-0.0029,-0.0191,0.0031,1.0E-4,2.0E-4,-1.0E-4,16.0,14.26,-23.94,-38.18,132.05,-0.48,60.76,3.1,1004.01,49.781,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,13 / 21,27511,2018-03-09 17:31:32:895
-8.8199,0.0981,4.8885,-8.5566,0.0818,4.7904,0.0068,0.0151,0.0034,-5.0E-4,8.0E-4,3.0E-4,17.0,13.78,-24.07,-38.21,132.04,-0.49,60.77,3.1,1004.01,59.176,35.772366,-78.6786,205.68,NaN,,0.0,24.467743,,13 / 21,28012,2018-03-09 17:31:33:396
-8.8511,0.0646,4.9244,-8.5568,0.082,4.7901,-3.0E-4,-0.0034,-7.0E-4,-3.0E-4,4.0E-4,-3.0E-4,17.0,13.4,-23.79,-38.29,131.54,-0.48,60.76,3.1,1004.01,47.392,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,28511,2018-03-09 17:31:33:895
-8.8582,0.0239,4.9412,-8.5566,0.0795,4.7904,5.0E-4,-0.0128,-0.0019,-1.0E-4,4.0E-4,1.0E-4,17.0,14.3,-24.94,-37.96,133.22,-0.49,60.76,3.1,1004.02,46.914,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,29012,2018-03-09 17:31:34:396
-8.8223,0.122,4.9843,-8.5563,0.0821,4.7909,0.0108,-3.0E-4,0.0075,-1.0E-4,-4.0E-4,-1.0E-4,17.0,13.74,-24.13,-38.04,131.54,-0.48,60.76,3.1,1004.01,51.485,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 20,29512,2018-03-09 17:31:34:896
-8.7984,0.1531,4.9077,-8.5565,0.077,4.7907,-0.0029,-0.0142,0.0042,-5.0E-4,2.0E-4,5.0E-4,18.0,14.76,-24.33,-38.11,132.57,-0.48,60.76,3.1,1004.02,49.576,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 20,30012,2018-03-09 17:31:35:396
-8.8702,0.0479,4.9986,-8.5559,0.0811,4.7917,0.0021,-0.0016,0.0073,-1.0E-4,2.0E-4,-3.0E-4,18.0,14.3,-24.0,-38.15,132.05,-0.47,60.76,3.1,1004.02,49.352,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,30512,2018-03-09 17:31:35:896
-8.8295,0.1412,4.9675,-8.5565,0.0804,4.7907,0.0128,0.0079,-0.0023,1.0E-4,8.0E-4,1.0E-4,18.0,13.52,-24.0,-37.84,132.06,-0.47,60.76,3.1,1004.0,51.277,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,31012,2018-03-09 17:31:36:396
-8.7936,0.134,4.9244,-8.5572,0.0835,4.7892,0.0124,-0.0033,-0.0096,-3.0E-4,-2.0E-4,-3.0E-4,17.0,13.7,-24.05,-38.47,132.05,-0.49,60.75,3.1,1004.01,49.91,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,31512,2018-03-09 17:31:36:896
-8.8558,0.0742,4.9675,-8.5561,0.0781,4.7914,0.0301,-0.0113,-0.022,1.0E-4,4.0E-4,9.0E-4,18.0,13.89,-23.96,-38.06,132.06,-0.48,60.75,3.1,1004.01,49.092,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,32012,2018-03-09 17:31:37:396
-8.8822,0.0311,4.9651,-8.5559,0.081,4.7917,-0.0119,-0.0351,0.0283,-3.0E-4,0.0,-3.0E-4,17.0,13.55,-24.3,-38.2,132.04,-0.49,60.77,3.1,1004.02,53.669,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,32512,2018-03-09 17:31:37:896
-8.8869,0.1125,4.9962,-8.5576,0.08,4.7887,-0.003,-0.018,0.0015,-3.0E-4,2.0E-4,-1.0E-4,16.0,14.21,-24.69,-38.23,133.24,-0.5,60.73,3.1,1004.01,50.639,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,33012,2018-03-09 17:31:38:396
-8.8271,0.146,4.9747,-8.5566,0.0815,4.7904,-0.0071,0.0115,-7.0E-4,-5.0E-4,-2.0E-4,-5.0E-4,16.0,14.61,-24.29,-37.84,132.58,-0.48,60.76,3.1,1004.01,50.225,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,33511,2018-03-09 17:31:38:895
-8.8893,0.1196,4.9268,-8.5557,0.0775,4.7921,-0.0164,0.0021,0.0137,5.0E-4,-2.0E-4,-3.0E-4,15.0,14.16,-23.81,-37.57,132.05,-0.51,60.73,3.1,1004.02,48.838,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,34011,2018-03-09 17:31:39:395
-8.8463,0.0718,4.9866,-8.5568,0.0887,4.7899,5.0E-4,0.0463,0.0028,-1.0E-4,2.0E-4,-5.0E-4,15.0,14.47,-25.19,-37.86,133.25,-0.45,60.76,3.1,1004.02,48.702,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,34511,2018-03-09 17:31:39:895
-8.8415,0.0718,4.9244,-8.5562,0.0782,4.7912,-0.0052,0.0061,0.0047,3.0E-4,0.0,0.0013,15.0,18.28,-27.6,-41.38,135.72,-0.52,60.76,3.1,1004.02,48.44,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,35013,2018-03-09 17:31:40:397
-8.8582,0.0574,4.9866,-8.5568,0.0836,4.79,-0.0148,0.0086,0.0111,1.0E-4,2.0E-4,-5.0E-4,15.0,18.32,-27.76,-41.23,135.76,-0.47,60.76,3.1,1004.02,51.382,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,35511,2018-03-09 17:31:40:895
-8.8774,0.1077,4.9627,-8.5573,0.0812,4.7891,0.012,-0.0058,-0.003,3.0E-4,0.0,5.0E-4,15.0,17.96,-26.83,-39.81,135.63,-0.5,60.77,3.1,1004.0,48.815,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,36013,2018-03-09 17:31:41:397
-8.8319,0.1196,4.9196,-8.5583,0.0793,4.7874,-0.0039,-0.0181,0.0062,3.0E-4,6.0E-4,1.0E-4,15.0,17.39,-25.79,-40.74,133.09,-0.49,60.77,3.1,1004.01,52.954,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,36511,2018-03-09 17:31:41:895
-8.8822,0.1436,4.9866,-8.5575,0.082,4.7888,-0.0024,-0.0113,0.0103,3.0E-4,-2.0E-4,-1.0E-4,15.0,18.04,-26.89,-40.31,135.64,-0.48,60.77,3.1,1004.03,54.001,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,37011,2018-03-09 17:31:42:395
-8.8558,0.055,4.9531,-8.5571,0.0833,4.7895,-0.0292,0.0128,0.0277,1.0E-4,0.0,5.0E-4,15.0,17.95,-26.96,-41.04,134.69,-0.48,60.77,3.1,1004.02,46.995,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,37511,2018-03-09 17:31:42:895
-8.8176,0.1101,4.9627,-8.5571,0.084,4.7896,0.0026,0.0122,-0.0037,-3.0E-4,-2.0E-4,-1.0E-4,15.0,16.23,-26.08,-39.77,133.51,-0.47,60.77,3.1,1004.01,48.396,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,38012,2018-03-09 17:31:43:396
-8.7841,0.0598,4.9507,-8.5565,0.0847,4.7905,0.012,-0.0141,0.0117,1.0E-4,-4.0E-4,1.0E-4,18.0,16.89,-25.74,-40.11,134.01,-0.5,60.77,3.1,1004.01,50.013,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,38512,2018-03-09 17:31:43:896
-8.8367,0.1531,4.9914,-8.5564,0.0818,4.7908,-0.0216,-0.0175,0.011,-3.0E-4,4.0E-4,3.0E-4,18.0,15.49,-25.6,-39.48,133.92,-0.51,60.76,3.1,1004.02,59.801,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,39012,2018-03-09 17:31:44:396
-8.8941,0.0455,5.0034,-8.5545,0.0869,4.7941,0.0143,0.0346,-0.0232,7.0E-4,-6.0E-4,5.0E-4,19.0,15.86,-24.42,-38.6,132.17,-0.47,60.73,3.1,1004.02,53.299,35.77236,-78.6786,229.78,NaN,,0.0,24.467743,,13 / 21,39512,2018-03-09 17:31:44:896
